samples,AIC,WAIC,10-fold-cv
520.0,-725.3167035719999,-728.7276245311385,362.66223094325534
530.0,-725.313758994394,-728.5685893463882,362.60608422342
540.0,-725.3094035770785,-728.5932675982883,362.58567436347073
550.0,-725.311577962718,-728.5911050232618,362.68167656494495
560.0,-725.3017422135081,-728.608884303748,362.4876118717613
570.0,-725.296922322628,-728.6308383236221,362.5442009258902
580.0,-725.2964020473069,-728.6639354029493,362.70948687459787
590.0,-725.2982808911664,-728.6985101167838,362.5367844436238
600.0,-725.2998517935863,-728.7113737826057,362.73782271863473
610.0,-725.2990683216628,-728.7275230637186,362.65766916438287
620.0,-725.3018404675283,-728.7518365484966,362.4700393165976
630.0,-725.3056306618837,-728.773338468834,362.5407415706467
640.0,-725.3028754591807,-728.791301302478,362.6863077544647
650.0,-725.3045496066504,-728.8129950151035,362.7311498972086
660.0,-725.3096548142665,-728.8482124329288,362.5762027163
670.0,-725.3045956530882,-728.8617337299798,362.7619857723989
680.0,-725.3033969771964,-728.9067451116853,362.6510703694642
690.0,-725.3088830847976,-728.8892022336712,362.7246727666651
700.0,-725.3060948647308,-728.9167007031311,362.68350338285745
710.0,-725.3114921917507,-728.93817108998,362.66059189962505
720.0,-725.3021348840543,-728.9250754637405,362.65283173099374
730.0,-725.2949195716549,-728.9466942527262,362.65826469899616
740.0,-725.2949977873967,-728.9506975133844,362.5628732126971
750.0,-725.29943938591,-728.7192625402681,362.7279854596093
760.0,-725.2948481704805,-728.7305655992811,362.6757780316209
770.0,-725.300837711013,-728.6930986377234,362.6682275727576
780.0,-725.2978223415791,-728.7132677625044,362.6571886095098
790.0,-725.2961995608009,-728.6803247058291,362.7569972422295
800.0,-725.3008414990218,-728.7019338984387,362.6356000905082
810.0,-725.3006310443652,-728.7187761911875,362.79285679356474
820.0,-725.2970593123919,-728.7394586138018,362.76852942367645
830.0,-725.2970433343803,-728.7791423082754,362.69341414795815
840.0,-725.2885282561606,-728.781902655302,362.57679611202656
850.0,-725.2881998738417,-728.7900871960342,362.7887553978722
860.0,-725.2858672977998,-728.706302906081,362.7201507482398
870.0,-725.2852854579377,-728.7308608716512,362.7603180004863
880.0,-725.2826742200396,-728.6462443370424,362.6870118179008
890.0,-725.2811725375951,-728.663543153174,362.67346352528403
900.0,-725.2809088859269,-728.6850752147758,362.6384314140052
910.0,-725.2810962088356,-728.6852359207483,362.7335676379784
920.0,-725.2800227088517,-728.6904624829411,362.7373137304222
930.0,-725.277203475823,-728.699339216137,362.73016531314215
940.0,-725.2744503408082,-728.7064010814519,362.7296286755748
950.0,-725.273297745744,-728.5677259108351,362.5905285121265
960.0,-725.2749490961693,-728.5909935578036,362.7773529846225
970.0,-725.280743886957,-728.6089834575112,362.75813948161436
980.0,-725.2832893488894,-728.4800413793797,362.6171278413651
990.0,-725.2831038140187,-728.4769162530156,362.7103189576348
1000.0,-725.2789807629971,-728.5038272629906,362.74154145564796
1010.0,-725.2795820287677,-728.5303226956369,362.57630890570607
